YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DatavalueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,GeoLocation,ResponseID,LocationID,TopicID,QuestionID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2012,2012,IN,Indiana,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,6.3,6.3,,,5.5,7.1,Gender,Female,,,,,POINT (-86.14996019399968 39.766910452000445),,18,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2016,2016,MA,Massachusetts,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.6,11.6,,,10.5,12.7,Gender,Male,,,,,POINT (-72.08269067499964 42.27687047000046),,25,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2011,2011,HI,Hawaii,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,4.7,4.7,,,3.4,6.4,Gender,Female,,,,,POINT (-157.85774940299973 21.304850435000446),,15,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2016,2016,IA,Iowa,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.4,9.4,,,8.4,10.4,Overall,Overall,,,,,POINT (-93.81649055599968 42.46940091300047),,19,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2014,2014,ID,Idaho,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,7.1,7.1,,,5.4,9.1,Gender,Female,,,,,POINT (-114.3637300419997 43.682630005000476),,16,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2014,2014,ID,Idaho,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.0,11,,,9.4,12.5,Overall,Overall,,,,,POINT (-114.3637300419997 43.682630005000476),,16,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2011,2011,KY,Kentucky,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,6.1,6.1,,,5.1,7.1,Gender,Female,,,,,POINT (-84.77497104799966 37.645970271000465),,21,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2017,2017,LA,Louisiana,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,6.7,6.7,,,5.7,7.7,Gender,Female,,,,,POINT (-92.44568007099969 31.31266064400046),,22,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2014,2014,MO,Missouri,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,8.8,8.8,,,8.1,9.5,Overall,Overall,,,,,POINT (-92.56630005299968 38.635790776000476),,29,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2010,2010,MN,Minnesota,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,5.1,5.1,,,4.3,5.9,Gender,Female,,,,,POINT (-94.79420050299967 46.35564873600049),,27,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2013,2013,MN,Minnesota,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,8.3,8.3,,,7.6,9,Overall,Overall,,,,,POINT (-94.79420050299967 46.35564873600049),,27,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2014,2014,NJ,New Jersey,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,5.1,5.1,,,4.5,5.7,Gender,Female,,,,,POINT (-74.27369128799967 40.13057004800049),,34,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2012,2012,NH,New Hampshire,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,7.4,7.4,,,6,8.7,Overall,Overall,,,,,POINT (-71.50036091999965 43.65595011300047),,33,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2011,2011,NV,Nevada,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,10.8,10.8,,,9.6,12,Overall,Overall,,,,,POINT (-117.07184056399967 39.493240390000494),,32,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2015,2015,NY,New York,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,6.7,6.7,,,6.4,7.1,Overall,Overall,,,,,POINT (-75.54397042699964 42.82700103200045),,36,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2014,2014,OR,Oregon,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.0,9,,,7.8,10.3,Gender,Female,,,,,POINT (-120.15503132599969 44.56744942400047),,41,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2011,2011,OR,Oregon,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.6,9.6,,,5.8,15,Race/Ethnicity,Hispanic,,,,,POINT (-120.15503132599969 44.56744942400047),,41,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2013,2013,TX,Texas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,8.5,8.5,,,8,9,Gender,Female,,,,,POINT (-99.42677020599967 31.827240407000488),,48,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2016,2016,TX,Texas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.2,9.2,,,8.7,9.7,Gender,Female,,,,,POINT (-99.42677020599967 31.827240407000488),,48,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2013,2013,UT,Utah,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,5.8,5.8,,,4.5,7.3,Gender,Female,,,,,POINT (-111.58713063499971 39.360700171000474),,49,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2014,2014,WA,Washington,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,8.0,8,,,7.1,8.9,Gender,Female,,,,,POINT (-120.47001078999972 47.52227862900048),,53,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2012,2012,WA,Washington,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,14.8,14.8,,,13.5,16,Gender,Male,,,,,POINT (-120.47001078999972 47.52227862900048),,53,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2011,2011,WY,Wyoming,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,14.6,14.6,,,11.6,18.1,Overall,Overall,,,,,POINT (-108.10983035299967 43.23554134300048),,56,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2018,2018,WV,West Virginia,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,18.5,18.5,,,16,21.1,Gender,Male,,,,,POINT (-80.71264013499967 38.66551020200046),,54,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2015,2015,VA,Virginia,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,7.6,7.6,,,5,11,Race/Ethnicity,Hispanic,,,,,POINT (-78.45789046299967 37.54268067400045),,51,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2018,2018,VT,Vermont,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.6,9.6,,,6.7,13.3,Gender,Male,,,,,POINT (-72.51764079099962 43.62538123900049),,50,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2019,2019,OK,Oklahoma,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.9,9.9,,,8.6,11.3,Gender,Female,,,,,POINT (-97.52107021399968 35.47203135600046),,40,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2019,2019,TX,Texas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,19.8,19.8,,,18.8,20.8,Race/Ethnicity,Hispanic,,,,,POINT (-99.42677020599967 31.827240407000488),,48,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2012,2012,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,10.1,10.1,,,8.9,11.3,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2016,2016,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,8.8,8.8,,,7.1,10.4,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,BLK,,,,
2014,2014,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.8,11.8,,,10.9,12.7,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2010,2010,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.1,11.1,,,7.7,15.6,Gender,Male,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2010,2010,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,6.7,6.7,,,5.5,8,Gender,Female,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2018,2018,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,14.7,14.7,,,13.5,15.9,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2014,2014,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.4,9.4,,,6.4,13.3,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2011,2011,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,13.5,13.5,,,12.1,15,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2014,2014,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2018,2018,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,API,,,,
2013,2013,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.2,11.2,,,10.2,12.2,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2015,2015,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,13.4,13.4,,,12,14.8,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2013,2013,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2015,2015,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,39.3,39.3,,,27.1,55.2,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,AIAN,,,,
2011,2011,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,API,,,,
2010,2010,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,5.8,5.8,,,3.8,8.6,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,BLK,,,,
2013,2013,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.3,11.3,,,8.8,14.2,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2012,2012,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,32.6,32.6,,,21.7,47.1,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,AIAN,,,,
2013,2013,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,API,,,,
2012,2012,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,7.7,7.7,,,6.1,9.2,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,BLK,,,,
2011,2011,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,10.0,10,,,8.8,11.2,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2014,2014,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,API,,,,
2017,2017,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,14.4,14.4,,,13.2,15.6,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2018,2018,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2010,2010,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,10.7,10.7,,,9.4,11.9,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2014,2014,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,8.2,8.2,,,6.9,9.6,Gender,Female,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2017,2017,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,14.0,14,,,12.2,15.9,Gender,Male,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2017,2017,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,BLK,,,,
2018,2018,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,15.5,15.5,,,11.7,20.2,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2018,2018,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2012,2012,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,10.1,10.1,,,7.4,13.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2014,2014,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,BLK,,,,
2010,2010,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,9.4,9.4,,,8.5,10.2,Overall,Overall,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2015,2015,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,15.4,15.4,,,12.4,18.3,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2010,2010,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,BLK,,,,
2017,2017,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,AIAN,,,,
2017,2017,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,API,,,,
2016,2016,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,16.3,16.3,,,13.3,19.2,Overall,Overall,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2018,2018,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,12.4,12.4,,,9.5,15.8,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2012,2012,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2015,2015,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,16.7,16.7,,,15.1,18.3,Gender,Male,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,GENDER,GENM,,,,
2015,2015,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Asian or Pacific Islander,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,API,,,,
2017,2017,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,17.3,17.3,,,13.3,22.2,Gender,Female,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,GENDER,GENF,,,,
2014,2014,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,8.8,8.8,,,6.5,11.7,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2014,2014,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,11.3,11.3,,,10,12.5,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,WHT,,,,
2013,2013,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2018,2018,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,BLK,,,,
2016,2016,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2010,2010,AL,Alabama,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,,,~,Data not shown because of too few respondents or cases,,,Race/Ethnicity,Hispanic,,,,,POINT (-86.63186076199969 32.84057112200048),,01,ALC,ALC6_0,AGEADJRATE,RACE,HIS,,,,
2018,2018,AR,Arkansas,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,12.7,12.7,,,11.5,13.9,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),,05,ALC,ALC6_0,AGEADJRATE,OVERALL,OVR,,,,
2018,2018,AK,Alaska,NVSS,Alcohol,Chronic liver disease mortality,,"cases per 100,000",Age-adjusted Rate,39.8,39.8,,,28.4,54.2,Race/Ethnicity,American Indian or Alaska Native,,,,,POINT (-147.72205903599973 64.84507995700051),,02,ALC,ALC6_0,AGEADJRATE,RACE,AIAN,,,,
